QuarterCode,QuarterName,FinancialYear,AreaCode,AreaName,WasteManagementGroup,DataStatus,"Local authority collected municipal waste arisings (tonnes), KPI(j)",Local authority collected municipal waste preparing for reuse (tonnes),Local authority collected municipal waste dry recycling (tonnes),Local authority collected municipal waste composting (tonnes),Local authority collected municipal waste dry recycling and composting (tonnes),"Local authority collected municipal waste preparing for reuse, dry recycling and composting (tonnes)","Local authority collected municipal waste dry recycling and composting rate (%), KPI(e)",Local authority collected municipal waste energy recovery for mixed residual (tonnes),Local authority collected municipal waste energy recovery for specific streams e.g. wood (tonnes),Local authority collected municipal waste energy recovery rate (%),Local authority collected municipal waste landfilled (tonnes),"Local authority collected municipal waste landfill rate (%), KPI(f)","Biodegradable local authority collected municipal waste to landfill (tonnes), KPI(g)",NILAS financial year allocation before transfers (tonnes),NILAS financial year allocation after transfers (tonnes),Household waste arisings (tonnes),Household waste preparing for reuse (tonnes),Household waste dry recycling (tonnes),Household waste composting (tonnes),Household waste dry recycling and composting (tonnes),"Household waste preparing for reuse, dry recycling and composting (tonnes)","Household waste dry recycling and composting rate (%), KPI(a)",Household waste landfilled (tonnes),"Household waste landfill rate (%), KPI(b)",Number of households,"Household waste arisings per household (kilogrammes per household), KPI(h)",Population,"Household waste arisings per capita (kilogrammes per capita), KPI(p)",Waste from households recycling (including preparing for reuse and composting) (tonnes),Waste from households arisings (tonnes),Waste from households recycling rate (including preparing for reuse and composting) (%),year
Q1,April to June,2006/07,95AA,Antrim,arc21 (pre April 2015),Finalised,9885,0,2542,2353,4895,0,49.5,0,0,0,4990,50.5,0,0,0,8595,0,1716,2353,4069,0,47.3,4525,52.6,0,0,51059,168,0,0,0,2006
Q1,April to June,2006/07,95BB,Ards,arc21 (pre April 2015),Finalised,13137,0,1231,2191,3422,0,26,0,0,0,9715,74,0,0,0,12357,0,1167,2191,3358,0,27.2,8998,72.8,0,0,75767,163,0,0,0,2006
Q1,April to June,2006/07,95CC,Armagh,SWaMP2008,Finalised,7912,0,1443,1116,2559,0,32.3,0,0,0,5353,67.7,0,0,0,6997,0,980,1116,2096,0,30,4900,70,0,0,56785,123,0,0,0,2006
Q1,April to June,2006/07,95DD,Ballymena,arc21 (pre April 2015),Finalised,10072,0,1466,1511,2977,0,29.6,0,0,0,7094,70.4,0,0,0,9502,0,1466,1511,2977,0,31.3,6525,68.7,0,0,61447,155,0,0,0,2006
Q1,April to June,2006/07,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,3772,0,550,0,550,0,14.6,0,0,0,3222,85.4,0,0,0,3286,0,550,0,550,0,16.7,2735,83.2,0,0,29392,112,0,0,0,2006
Q1,April to June,2006/07,95FF,Banbridge,SWaMP2008,Finalised,7390,0,981,2581,3562,0,48.2,0,0,0,3795,51.4,0,0,0,7149,0,981,2581,3562,0,49.8,3554,49.7,0,0,45290,158,0,0,0,2006
Q1,April to June,2006/07,95GG,Belfast (pre April 2015),arc21 (pre April 2015),Finalised,44114,0,4708,3157,7865,0,17.8,0,0,0,36249,82.2,0,0,0,38754,0,4572,3154,7726,0,19.9,31028,80.1,0,0,274239,141,0,0,0,2006
Q1,April to June,2006/07,95HH,Carrickfergus,arc21 (pre April 2015),Finalised,6669,0,674,756,1431,0,21.5,0,0,0,5238,78.5,0,0,0,5913,0,674,756,1431,0,24.2,4482,75.8,0,0,39056,151,0,0,0,2006
Q1,April to June,2006/07,95II,Castlereagh,arc21 (pre April 2015),Finalised,8946,0,1782,1864,3647,0,40.8,0,0,0,5300,59.2,0,0,0,8302,0,1483,1864,3347,0,40.3,4955,59.7,0,0,66009,126,0,0,0,2006
Q1,April to June,2006/07,95JJ,Coleraine,NWRWMG (pre April 2015),Finalised,11590,0,1374,1200,2574,0,22.2,0,0,0,9016,77.8,0,0,0,9939,0,1374,1200,2574,0,25.9,7365,74.1,0,0,57894,172,0,0,0,2006
